gl_product_group,company_code,asin,item_name,order_date,shipped_units,revenue_share_amt,asp
199,BO92F,B005F6EIBG,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 16 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",8/14/2024,197,5598.68,28.42
199,BO92F,B017BEE59E,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 16lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",8/14/2024,3,163.83,54.61
199,BO92F,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",8/14/2024,6,293.88,48.98
199,BO92F,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",8/14/2024,21,1011.57,48.17
199,BO92F,B01DKRDC9K,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 28lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",8/14/2024,1,50.47,50.47
199,BO92F,B01DKRDCD6,Boxiecat Gently Scented Premium Clumping Clay Cat Litter-16-Pounds,8/14/2024,21,587.79,27.99
199,BO92F,B07DK2BQGD,"Boxie® Probiotic 40 Day Natural Odor Control Cat Litter, 28lb Clumping Clay Kitty Litter",8/14/2024,101,3937.99,38.99
199,BO92F,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",8/14/2024,50,1374.5,27.49
199,BO92F,B07RFBV7QW,"BoxiePro Scoop & Spray Litter Extender, Scent Free 24 oz",8/14/2024,4,127.96,31.99
199,BO92F,B07XJMQR3H,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 11.5lb",8/14/2024,3,102.12,34.04
199,BO92F,B07XKRSMBM,"Boxiecat Air Lightweight, Gently Scented, Premium Clumping Litter 11.5lb",8/14/2024,9,404.91,44.99
199,BO92F,B07XKRSMBN,"BoxiePro Air Lightweight Deep Clean, Probiotic Clumping Litter 6.5lb",8/14/2024,6,197.94,32.99
199,BO92F,B07XNQQQ8Q,"Boxiecat Air Lightweight, Gently Scented, Premium Clumping Litter 6.5lb",8/14/2024,1,29.1,29.10
199,BO92F,B07XNQTR5H,"Boxiecat Air Lightweight, Extra Strength, Premium Clumping Litter 11.5lb",8/14/2024,2,91.98,45.99
