order_date,asin,item_name,event_name,event_duration_days,company_code,shipped_units,revenue_share_amt,asp
2024-04-23,B0B3556F7K,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 40lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,12.0,842.16,70.18
2025-08-03,B005F6EIBG,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 16 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,147.0,4114.53,27.99
2024-10-12,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,28.0,1348.76,48.17
2025-01-18,B0B3556F7K,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 40lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,28.0,1943.88,69.42
2024-10-26,B017BEE59E,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 16lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,27.0,727.74,26.95
2023-10-12,B0B354CG1X,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 40lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,17.0,1019.66,59.98
2024-06-10,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,20.0,951.4,47.57
2023-11-03,B07XNYCRX8,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,2.0,63.96,31.98
2024-01-06,B01DKRDCD6,Boxiecat Gently Scented Premium Clumping Clay Cat Litter-16-Pounds,NO DEAL,0,BO92F,5.0,107.95,21.59
2025-01-03,B01DKRDCD6,Boxiecat Gently Scented Premium Clumping Clay Cat Litter-16-Pounds,NO DEAL,0,BO92F,14.0,349.86,24.99
2024-11-17,B0B354CG1X,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 40lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,6.0,401.68,66.95
2024-01-26,B07XP3FYC9,"Boxiecat Air Lightweight, Extra Strength, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,3.0,98.97,32.99
2025-01-06,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,1.0,51.54,51.54
2024-02-19,B07XNYCRX8,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,2.0,63.98,31.99
2024-02-06,B0B3564R37,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 40 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,13.0,878.28,67.56
2025-07-24,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,7.0,276.43,39.49
2025-07-07,B07XP3FYC9,"Boxiecat Air Lightweight, Extra Strength, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,1.0,32.99,32.99
2024-06-23,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,6.0,164.94,27.49
2024-05-18,B07XKRSMBM,"Boxiecat Air Lightweight, Gently Scented, Premium Clumping Litter 11.5lb",NO DEAL,0,BO92F,7.0,314.93,44.99
2025-03-22,B01DKRDC9K,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 28lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,3.0,151.41,50.47
2025-08-17,B0CRMZTZ3H,"Boxie® Glo™ 30 Day Odor Control Clumping Clay Cat Litter, 16 lb, Multi-Cat, 99.9% Dust-Free, Low Tracking, UV Light Attractant, Superior Clumping for Easy Scooping",NO DEAL,0,BO92F,6.0,111.63,18.61
2024-01-27,B07XKRSMBM,"Boxiecat Air Lightweight, Gently Scented, Premium Clumping Litter 11.5lb",NO DEAL,0,BO92F,4.0,197.66,49.42
2025-04-26,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,7.0,276.43,39.49
2024-07-13,B0B354XYP5,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 40-Pounds",NO DEAL,0,BO92F,3.0,206.52,68.84
2025-01-20,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,100.0,2399.0,23.99
2024-03-19,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,36.0,1156.32,32.12
2024-07-16,B005F6EIBG,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 16 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,245.0,6829.56,27.88
2024-12-30,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,92.0,2207.08,23.99
2025-08-03,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,17.0,818.89,48.17
2024-11-08,B017BEE59E,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 16lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,23.0,643.77,27.99
2024-08-17,B07DK2BQGD,"Boxie® Probiotic 40 Day Natural Odor Control Cat Litter, 28lb Clumping Clay Kitty Litter",NO DEAL,0,BO92F,89.0,3431.12,38.55
2025-03-18,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,60.0,1439.4,23.99
2024-04-28,B0B3564R37,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 40 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,30.0,1800.9,60.03
2024-04-12,B07XNYCRX8,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,1.0,30.39,30.39
2025-01-15,B07XKRSMBM,"Boxiecat Air Lightweight, Gently Scented, Premium Clumping Litter 11.5lb",NO DEAL,0,BO92F,3.0,134.97,44.99
2025-03-03,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,3.0,118.47,39.49
2023-11-27,B07XP3FYC9,"Boxiecat Air Lightweight, Extra Strength, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,1.0,36.1,36.1
2023-09-29,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,22.0,901.56,40.98
2024-04-22,B01DKRDCD6,Boxiecat Gently Scented Premium Clumping Clay Cat Litter-16-Pounds,NO DEAL,0,BO92F,14.0,391.86,27.99
2023-11-12,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,4.0,163.92,40.98
2024-06-01,B0B3556F7K,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 40lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,8.0,573.84,71.73
2024-06-24,B07XKRSMBN,"BoxiePro Air Lightweight Deep Clean, Probiotic Clumping Litter 6.5lb",NO DEAL,0,BO92F,5.0,164.95,32.99
2025-07-06,B0CRMZH41T,"Boxie® Glo™ 30 Day Odor Control Clumping Clay Cat Litter, 28lb, Multi-Cat, 99.9% Dust-Free, Low Tracking, UV Light Attractant, Superior Clumping for Easy Scooping",NO DEAL,0,BO92F,5.0,204.95,40.99
2024-02-26,B07XNYCRX8,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,3.0,95.97,31.99
2025-01-07,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,18.0,867.06,48.17
2024-10-16,B0BG9D3N9L,"Boxie® Eco™ Unscented 30 Day Odour Control 6.5lb Cat Litter, Sustainable Plant-Based Clumping Litter, 99.9% Dust-Free, Low Tracking, Easy Scoop, Long-Lasting Freshness, Ideal for Multi-Cat Homes",NO DEAL,0,BO92F,8.0,147.76,18.47
2025-06-13,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,4.0,157.96,39.49
2025-02-05,B01DKRDC9K,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 28lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,1.0,50.47,50.47
2023-10-18,B0B3564R37,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 40 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,9.0,611.46,67.94
2024-12-29,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,2.0,98.2,49.1
2024-04-17,B07XNQTR5H,"Boxiecat Air Lightweight, Extra Strength, Premium Clumping Litter 11.5lb",NO DEAL,0,BO92F,2.0,96.0,48.0
2025-05-27,B07XNQTR5H,"Boxiecat Air Lightweight, Extra Strength, Premium Clumping Litter 11.5lb",NO DEAL,0,BO92F,1.0,47.99,47.99
2025-04-27,B07XNYCRX8,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,2.0,62.32,31.16
2025-06-17,B07XKRSMBN,"BoxiePro Air Lightweight Deep Clean, Probiotic Clumping Litter 6.5lb",NO DEAL,0,BO92F,1.0,34.99,34.99
2025-01-19,B0B354XYP5,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 40-Pounds",NO DEAL,0,BO92F,1.0,71.81,71.81
2024-12-22,B07XNYCRX8,"Boxiecat Air Lightweight, Scent Free, Premium Clumping Litter 6.5lb",NO DEAL,0,BO92F,1.0,27.12,27.12
2025-03-23,B01DKRDC04,"Boxiecat Gently Scented Premium Clumping Clay Cat Litter, 28-Pounds",NO DEAL,0,BO92F,1.0,39.49,39.49
2024-11-01,B07XNQV81H,Boxiecat Scoop & Tie™ Litter Bags,NO DEAL,0,BO92F,1.0,16.14,16.14
2025-04-23,B07DK2BQGF,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 16lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,123.0,2950.77,23.99
2025-06-28,B005F6EIBG,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 16 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,144.0,4030.56,27.99
2025-02-16,B07DK2BQGD,"Boxie® Probiotic 40 Day Natural Odor Control Cat Litter, 28lb Clumping Clay Kitty Litter",NO DEAL,0,BO92F,76.0,3449.25,45.38
2024-12-14,B07DK2BQGD,"Boxie® Probiotic 40 Day Natural Odor Control Cat Litter, 28lb Clumping Clay Kitty Litter",NO DEAL,0,BO92F,81.0,3166.29,39.09
2025-02-02,B0B3556F7K,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 40lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,29.0,1978.61,68.23
2024-12-11,B017BEE59E,"Boxie® Extra Strength 35 Day Odour Control Clumping Clay Cat & Kitty Litter 16lb, 99.9% Dust-Free, Probiotic Formula, Long-Lasting, Veterinarian Approved, Easy Scooping for Multi-Cat Homes",NO DEAL,0,BO92F,46.0,1070.55,23.27
2024-11-01,B01DKRDC7C,"Boxie® Unscented 30 Day Odour Control Clumping Clay Cat & Kitty Litter 28 lb, 99.9% Dust-Free, Hard Flat Top® Clumps, No Fragrances No Fillers, Long-Lasting, Easy to Scoop",NO DEAL,0,BO92F,28.0,1300.59,46.45
2025-03-01,B0B3556F7K,"Boxie® Probiotic Cat Litter 40 Day Natural Odor Control, 40lb Clumping Kitty Litter (Clay)",NO DEAL,0,BO92F,20.0,1323.4,66.17
2023-09-06,B07DK2BQGD,"Boxie® Probiotic 40 Day Natural Odor Control Cat Litter, 28lb Clumping Clay Kitty Litter",NO DEAL,0,BO92F,70.0,2869.3,40.99
