ASIN,Tag,weight,current_price
B005F6EIBG,Unscented,16,27.99
B07DK2BQGD,Probiotic,28,45.99
B07DK2BQGF,Probiotic,16,23.99
B0B3556F7K,Probiotic,40,71.86
B0B3564R37,Unscented,40,66.73
B01DKRDC7C,Unscented,28,48.17
B017BEE59E,Extra Strength,16,27.99
B0B354CG1X,Extra Strength,40,70.03
B01DKRDCD6,Gently Scented,16,27.99
B0CRMZH41T,Glo,28,
B01DKRDC04,Gently Scented,28,
B07XKRSMBM,Gently Scented,11.5,46.99
B01DKRDC9K,Extra Strength,28,50.47
B0B354XYP5,Gently Scented,40,67.45
B07XNQV81H,Litter Care Accessories,0,17.40
B07XNQTR5H,Air,11.5,44.09
B07XNQQQ8Q,Gently Scented,6.5,
B07XJMQR3H,Unscented,11.5,43.82
B0CRMW7PKQ,Glo,40,74.17
B07XNYCRX8,Unscented,6.5,20.51
B07XKRSMBN,Probiotic,6.5,34.99
B0CRMZTZ3H,Glo,16,
B0BG9JKZV7,Unscented,16.5,
B07RFBV7QW,Litter Care Accessories,24,
B07XP3FYC9,Air,6.5,
B0BG9BHCPH,Probiotic,16.5,
B0BG9CLZBD,Gently Scented,16.5,
B0BG9DPL7T,Extra Strength,16.5,
B0BG9D3N9L,Unscented,6.5,
B0CRN1X34T,Glo,6,
B07XP6TL3W,Air,11.5,
B0CRMSL18F,Glo,6.5,
B0D92V9JGM,Glo,18,
B0CRMYS44Z,Glo,6.5,
B0D92SVQLX,Probiotic Crystal,18,
B0CRMVLX3W,Probiotic Crystal,6,
B0B355LZX9,Air,19.5,
B0CW21R9F8,Litter Care Accessories,40,
B07XP2KDK7,Litter Care Accessories,4,
B09RYXD3J1,Scoop & Spray,24,
B017VS9BVW,Litter Care Accessories,,
